# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "8" "-p" "-F" "GFF" "-a" "GCF_000006945.2_ASM694v2_genomic.gff" "-o" "analysis_results/counts/gene_counts.txt" "-t" "gene" "-g" "locus_tag" "analysis_results/aligned/ERR12322786_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	analysis_results/aligned/ERR12322786_sorted.bam
STM0001	NC_003197.2	190	255	+	66	417
STM0002	NC_003197.2	325	2799	+	2475	7855
STM0003	NC_003197.2	2789	3730	+	942	2492
STM0004	NC_003197.2	3722	5020	+	1299	3759
STM0005	NC_003197.2	5114	5898	-	785	2611
STM0006	NC_003197.2	5966	7407	-	1442	4721
STM0007	NC_003197.2	7652	8618	+	967	3549
STM0008	NC_003197.2	8718	9319	+	602	1748
STM0009	NC_003197.2	9376	9950	-	575	1867
STM0010	NC_003197.2	10092	10811	-	720	2317
STM0011	NC_003197.2	10841	11255	-	415	1638
STM0012	NC_003197.2	11579	13509	+	1931	6109
STM0013	NC_003197.2	13577	14734	+	1158	3740
STM0014	NC_003197.2	15007	15961	+	955	3326
STM0015	NC_003197.2	16083	16432	+	350	1182
STM0016	NC_003197.2	16493	17033	-	541	1411
STM0017	NC_003197.2	17043	17493	-	451	1422
STM0018	NC_003197.2	17860	19966	+	2107	6676
STM0019	NC_003197.2	20051	23054	+	3004	9801
STM0020	NC_003197.2	23335	24039	+	705	2276
STM0021	NC_003197.2	24462	25011	+	550	2211
STM0022	NC_003197.2	25105	25798	+	694	2174
STM0023	NC_003197.2	25803	28424	+	2622	8049
STM0024	NC_003197.2	28410	29432	+	1023	2679
STM0025	NC_003197.2	29418	29978	+	561	1282
STM0026	NC_003197.2	29977	30512	+	536	1137
STM0027	NC_003197.2	30466	31209	+	744	1967
STM0028	NC_003197.2	31270	32119	+	850	2808
STM0029	NC_003197.2	32545	33000	-	456	1792
STM0030	NC_003197.2	33357	34368	+	1012	3432
STM0031	NC_003197.2	34376	34816	-	441	1401
STM0032	NC_003197.2	35331	37057	+	1727	5310
STM0033	NC_003197.2	37103	38674	-	1572	4932
STM0034	NC_003197.2	38773	39540	-	768	2677
STM0035	NC_003197.2	40120	41624	+	1505	5334
